Date,A2A,AMP,AZM,BMED,BMPS,BAMI,BPE,BC,BZU,CPR,DIA,ENEL,ENI,RACE,FBK,G,HER,IP,ISP,INW,IG,IVG,LDO,MB,MONC,NEXI,PIRC,PST,PRY,REC,SPM,SRG,STLAM,STMMI,TIT,TEN,TRN,UCG,UNI
1990-01-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4,NaN,NaN,NaN,NaN,NaN,NaN,7.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.38,NaN,NaN,NaN,NaN,NaN,NaN,4.98,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-01-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.39,NaN,NaN,NaN,NaN,NaN,NaN,8.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.36,NaN,NaN,NaN,NaN,NaN,NaN,5.05,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-01-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.31,NaN,NaN,NaN,NaN,NaN,NaN,7.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.28,NaN,NaN,NaN,NaN,NaN,NaN,4.94,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-01-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,NaN,7.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.35,NaN,NaN,NaN,NaN,NaN,NaN,4.95,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-02-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,NaN,7.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.31,NaN,NaN,NaN,NaN,NaN,NaN,4.89,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.22,NaN,NaN,NaN,NaN,NaN,NaN,7.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.43,NaN,NaN,NaN,NaN,NaN,NaN,4.97,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.37,NaN,NaN,NaN,NaN,NaN,NaN,7.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.42,NaN,NaN,NaN,NaN,NaN,NaN,5.05,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.39,NaN,NaN,NaN,NaN,NaN,NaN,7.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.41,NaN,NaN,NaN,NaN,NaN,NaN,5.08,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.42,NaN,NaN,NaN,NaN,NaN,NaN,7.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.33,NaN,NaN,NaN,NaN,NaN,NaN,5.05,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41,NaN,NaN,NaN,NaN,NaN,NaN,7.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.31,NaN,NaN,NaN,NaN,NaN,NaN,5.02,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.42,NaN,NaN,NaN,NaN,NaN,NaN,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2,NaN,NaN,NaN,NaN,NaN,NaN,4.99,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,NaN,7.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.16,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-02-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3,NaN,NaN,NaN,NaN,NaN,NaN,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.18,NaN,NaN,NaN,NaN,NaN,NaN,5.03,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-02-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35,NaN,NaN,NaN,NaN,NaN,NaN,7.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15,NaN,NaN,NaN,NaN,NaN,NaN,5.08,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.27,NaN,NaN,NaN,NaN,NaN,NaN,7.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.16,NaN,NaN,NaN,NaN,NaN,NaN,5.29,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
